customer_ID,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,City,State,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,cluster
RH-19495,32298,CA-2012-124891,31-07-2012,31-07-2012,Same Day,Rick Hansen,Consumer,New York City,New York,United States,US,East,TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,2309.65,entre 7 y 8,0.0,762.1845,933.57,Critical,1
SA-20830,31784,CA-2011-154627,29-10-2011,31-10-2011,First Class,Sue Ann Reed,Consumer,Chicago,Illinois,United States,US,Central,TEC-PH-10001363,Technology,Phones,Apple iPhone 5S,2735.952,entre 5 y 6,0.2,341.994,752.51,High,1
KF-16285,37311,CA-2013-159016,11-03-2013,12-03-2013,First Class,Karen Ferguson,Home Office,Los Angeles,California,United States,US,West,TEC-PH-10002885,Technology,Phones,Apple iPhone 5,4158.912,entre 7 y 8,0.2,363.9048,714.66,High,1
DM-13015,36423,CA-2011-160766,14-09-2011,14-09-2011,Same Day,Darrin Martin,Consumer,New York City,New York,United States,US,East,TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,2799.96,entre 3 y 4,0.0,1371.9804,675.15,High,1
LC-16885,40046,US-2012-163825,16-06-2012,19-06-2012,First Class,Lena Creighton,Consumer,New York City,New York,United States,US,East,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,3050.376,entre 3 y 4,0.2,1143.891,632.05,High,1
FH-14365,32941,CA-2012-111829,19-03-2012,20-03-2012,First Class,Fred Hopkins,Corporate,Seattle,Washington,United States,US,West,TEC-CO-10001766,Technology,Copiers,Canon PC940 Copier,3149.93,entre 7 y 8,0.0,1480.4671,617.92,High,1
KD-16495,39501,CA-2012-114811,08-11-2012,08-11-2012,Same Day,Keith Dawkins,Corporate,New York City,New York,United States,US,East,TEC-MA-10000045,Technology,Machines,Zebra ZM400 Thermal Label Printer,4643.8,entre 3 y 4,0.0,2229.024,607.34,Medium,1
TP-21415,38540,CA-2014-118892,18-08-2014,23-08-2014,Second Class,Tom Prescott,Consumer,Philadelphia,Pennsylvania,United States,US,East,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,4416.174,entre 9 y 10,0.3,-630.882,566.65,Medium,1
AB-10060,39465,CA-2014-107174,07-11-2014,14-11-2014,Standard Class,Adam Bellavance,Home Office,Seattle,Washington,United States,US,West,FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,2036.86,entre 7 y 8,0.0,366.6348,524.76,Low,1
SB-20185,39399,CA-2012-149846,22-05-2012,26-05-2012,Standard Class,Sarah Brown,Consumer,Los Angeles,California,United States,US,West,TEC-MA-10004002,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2973.32,entre 7 y 8,0.2,334.4985,510.18,High,1
RS-19765,38362,CA-2011-106726,06-12-2011,08-12-2011,First Class,Roland Schwarz,Corporate,Los Angeles,California,United States,US,West,OFF-ST-10001496,Office Supplies,Storage,Standard Rollaway File with Lock,1261.33,entre 7 y 8,0.0,327.9458,506.49,Critical,1
TB-21400,37923,CA-2011-145541,14-12-2011,21-12-2011,Standard Class,Tom Boeckenhauer,Consumer,New York City,New York,United States,US,East,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",6999.96,entre 3 y 4,0.0,2239.9872,499.55,Medium,1
CC-12370,37722,CA-2013-143714,24-05-2013,28-05-2013,Standard Class,Christopher Conant,Consumer,Philadelphia,Pennsylvania,United States,US,East,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,8399.976,entre 3 y 4,0.4,1119.9968,498.08,Medium,1
DJ-13510,34153,CA-2013-128594,27-08-2013,30-08-2013,First Class,Don Jones,Corporate,San Diego,California,United States,US,West,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,1603.136,entre 3 y 4,0.2,100.196,489.6,Critical,1
MJ-17740,40462,CA-2013-100300,25-06-2013,27-06-2013,Second Class,Max Jones,Consumer,San Diego,California,United States,US,West,TEC-MA-10000984,Technology,Machines,Okidata MB760 Printer,4476.8,entre 3 y 4,0.2,503.64,485.47,High,1
ND-18370,32998,CA-2012-114069,13-07-2012,15-07-2012,Second Class,Natalie DeCherney,Consumer,New York City,New York,United States,US,East,FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,1931.04,entre 9 y 10,0.1,321.84,477.15,Critical,1
AG-10675,31696,CA-2013-108987,09-09-2013,11-09-2013,Second Class,Anna Gayman,Consumer,Houston,Texas,United States,US,Central,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2396.2656,entre 3 y 4,0.32,-317.1528,469.16,Critical,1
TA-21385,33921,CA-2014-127180,23-10-2014,25-10-2014,First Class,Tom Ashbrook,Home Office,New York City,New York,United States,US,East,TEC-PH-10001494,Technology,Phones,Polycom CX600 IP Phone VoIP phone,2399.6,entre 7 y 8,0.0,647.892,449.45,High,1
GK-14620,33102,US-2013-116729,26-12-2013,29-12-2013,First Class,Grace Kelly,Corporate,Los Angeles,California,United States,US,West,TEC-PH-10002200,Technology,Phones,Samsung Galaxy Note 2,2575.944,entre 7 y 8,0.2,257.5944,429.66,Medium,1
SR-20740,39211,CA-2014-165323,18-06-2014,22-06-2014,Standard Class,Steven Roelle,Home Office,New York City,New York,United States,US,East,TEC-MA-10003673,Technology,Machines,Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5,entre 5 y 6,0.0,1668.205,419.06,High,1
